fish_id,year,station,length,sex,gut_length,SP1,SP2,PS,plates,grn,grg,grl2,grl3
BK185737,2018,DN,55,m,35,3.655,3.984,5.616,4,14,0.102,1.398333,1.516333
BK185738,2018,DN,56,f,38,3.079,3.21,5.945,5,13,0.204,1.086667,1.172667
BK185834,2018,DN,58,f,43,2.916,3.203,6.24,5,14,0.2103333,1.095333,1.055333
BK185836,2018,DN,53,m,35,3.544,3.726,5.836,6,14,0.1413333,1.072667,1.332333
BK185838,2018,DN,58,f,31,3.842,4.186,6.35,4,12,0.1933333,1.278,1.208667
BK185850,2018,HS2,44,f,25,2.265,2.865,4.842,6,13,0.1563333,0.813,0.9136667
BK185854,2018,HS2,45,m,24,2.613,2.864,4.359,4,NA,NA,NA,NA
BK185855,2018,HS2,51,f,30,3.363,3.821,4.432,5,10,0.186,1.037333,1.173
BK185857,2018,HS2,46,m,23,2.884,3.212,3.537,3,12,0.1456667,1.039,1.078667
BK185864,2018,HS2,50,m,17,3.269,3.214,4.462,4,14,0.1833333,1.05,1.1
BK185864,2018,HS2,50,m,26,3.269,3.214,4.462,4,14,0.1833333,1.05,1.1
BK185866,2018,HS2,50,m,25,2.453,2.755,5.387,5,10,0.1506667,1.067333,1.125333
BK185877,2018,HS2,50,m,23,3.006,2.775,5.331,5,NA,NA,NA,NA
BK185884,2018,HS2,46,m,18,2.994,2.851,4.793,6,14,0.1426667,1.071,0.9986667
BK185885,2018,HS2,43,m,24,2.257,2.593,4.16,5,11,0.1323333,0.8813333,1.009
BK185887,2018,HS2,47,m,24,3.21,3.526,4.732,7,12,0.177,0.7443333,1.053667
BK185888,2018,HS2,49,m,21,2.6,2.529,3.623,6,10,0.1276667,0.8386667,0.8906667
BK185892,2018,HS2,44,f,24,2.54,3.071,4.765,4,NA,NA,NA,NA
BK185897,2018,HS2,54,m,30,2.87,3.423,7.067,6,12,0.1396667,1.327333,1.241333
BK185902,2018,HS2,49,m,30,3.368,3.663,5.451,5,10,0.1996667,1.049,1.083
BK185907,2018,HS2,45,m,22,2.418,2.351,3.826,6,13,0.161,0.8626667,1.055667
BK185912,2018,HS2,52,m,29,2.731,3.064,4.943,6,10,0.1553333,1.160333,1.161
BK185921,2018,HS2,52,m,28,3.16,3.484,3.526,6,11,0.1766667,0.9266667,0.9876667
BK185936,2018,HS2,47,m,22,3.777,4.574,4.395,4,13,0.177,1.051667,1.027667
BK185940,2018,HS2,41,f,18,3.346,3.622,4.626,4,13,0.1306667,0.682,0.6316667
BK185941,2018,HS2,41,m,18,2.094,2.524,4.201,5,NA,NA,NA,NA
BK185961,2018,NS,42,m,23,2.968,3.198,5.14,4,13,0.1566667,1.046333,1.053667
BK185964,2018,NS,36,NA,NA,2.756,2.854,3.977,4,10,0.1063333,0.8143333,0.7233333
BK185966,2018,NS,40,f,17,3.01,3.293,4.44,5,14,0.12,0.705,0.7783333
BK185976,2018,NS,53,m,26,2.991,3.177,5.345,6,NA,NA,NA,NA
BK185979,2018,NS,46,m,20,2.643,3.036,4.465,5,15,0.1606667,0.9306667,0.9653333
BK186006,2018,NS,35,m,15,2.55,2.68,3.091,6,NA,NA,NA,NA
BK186017,2018,NS,35,m,16,2.237,2.671,3.208,4,14,0.08133333,0.6343333,0.6656667
BK186020,2018,NS,41,m,17,3.182,3.495,4.098,6,12,0.1426667,0.9226667,0.995
BK186026,2018,NS,62,f,35,3.292,3.123,4.886,4,NA,NA,NA,NA
BK186032,2018,NS,44,m,24,2.455,2.491,3.381,4,13,0.213,0.8726667,0.889
BK186033,2018,NS,44,f,26,2.928,2.536,5.108,5,10,0.171,0.823,0.874
BK186035,2018,NS,45,f,24,3.06,3.114,4.622,5,12,0.1603333,0.8516667,0.891
BK186036,2018,NS,45,m,28,3.301,3.156,4.897,5,13,0.1363333,1.009,0.9786667
BK186043,2018,NS,40,m,25,3.1,3.476,5.017,5,11,0.1493333,0.9396667,0.9396667
BK186051,2018,NS,37,m,17,2.562,3.017,3.967,6,12,0.09333333,0.7013333,0.7193333
BK186055,2018,NS,36,f,16,2.59,3.098,2.958,4,14,0.099,0.7523333,0.8726667
BK186059,2018,NS,43,f,22,2.53,2.574,4.298,5,13,0.1636667,0.7986667,0.7116667
BK186065,2018,124,45,f,25,2.729,3.035,4.823,6,13,0.123,0.8456667,0.8596667
BK186074,2018,124,42,m,21,2.68,3.106,3.8,5,13,0.153,0.8943333,0.9576667
BK186075,2018,124,35,m,14,2.31,2.486,3.991,4,13,0.1356667,0.7033333,0.743
BK186086,2018,124,70,f,56,3.941,4.382,6.062,4,12,0.233,1.558333,1.411667
BK186087,2018,124,60,f,32,3.33,3.449,3.819,6,NA,NA,NA,NA
BK186119,2018,124,58,f,32,2.922,3.089,4.98,5,14,0.188,0.8943333,0.882
BK186120,2018,124,55,m,30,2.738,3.448,5.323,6,14,0.1863333,1.472,1.381667
BK186121,2018,124,54,m,33,3.07,3.238,3.849,4,15,0.2143333,1.320667,1.164333
BK186122,2018,124,48,f,33,2.723,2.726,4.51,6,12,0.2163333,0.717,0.6976667
BK186123,2018,124,50,m,29,3.026,3.251,4.593,4,13,0.119,1.045333,1.133333
BK186125,2018,124,42,m,16,2.233,2.271,4.366,6,NA,NA,NA,NA
BK186132,2018,124,50,m,28,3.084,3.101,4.964,5,13,0.1323333,1.142333,1.196667
BK186134,2018,124,61,f,38,3.332,3.478,6.196,6,9,0.1673333,1.110333,1.188333
BK186140,2018,124,37,m,22,2.993,2.964,4.497,4,13,0.1063333,0.867,0.8266667
BK186146,2018,124,61,f,39,2.967,3.486,6.012,5,NA,NA,NA,NA
BK186153,2018,124,39,f,20,2.338,2.743,4.535,5,14,0.09366667,0.8316667,0.9313333
BK186158,2018,124,36,m,15,2.453,2.729,4.682,5,14,0.111,0.82,0.7893333
BK200401,2020,HS2,59,f,37,3.604,4.23,5.206,5,14,0.1496667,1.172667,1.190333
BK200402,2020,HS2,62,m,28,4.272,3.981,6.921,4,14,0.2216667,1.332,1.306
BK200403,2020,HS2,58,f,38,3.748,3.738,4.692,4,13,0.282,1.549333,1.663
BK200403,2020,HS2,58,f,38,5.228,5.595,7.836,5,13,0.282,1.549333,1.663
BK200403,2020,HS2,58,f,33,5.228,5.595,7.836,5,13,0.282,1.549333,1.663
BK200403,2020,HS2,58,f,33,3.748,3.738,4.692,4,13,0.282,1.549333,1.663
BK200408,2020,HS2,64,m,35,3.699,3.458,5.04,3,14,0.1776667,1.360667,1.358667
BK200409,2020,HS2,60,m,33,4.51,4.552,5.938,5,15,0.1563333,1.143,1.217333
BK200410,2020,HS2,66,f,41,4.34,4.704,6.158,5,15,0.139,1.241,0.9916667
BK200414,2020,HS2,55,m,25,3.907,4.035,5.684,6,13,0.14,1.268333,1.250667
BK200416,2020,HS2,56,m,30,3.487,3.397,5.28,5,15,0.2403333,1.215333,1.336667
BK200418,2020,HS2,55,m,27,3.559,3.734,4.983,6,14,0.1733333,0.869,0.85
BK200451,2020,HS2,46,m,20,2.491,2.665,3.848,5,10,0.212,0.5673333,0.6396667
BK200452,2020,HS2,48,m,26,3.276,3.261,3.436,6,11,0.125,0.9873333,0.984
BK200457,2020,HS2,47,NA,NA,4.125,4.561,6.712,6,NA,NA,NA,NA
BK200459,2020,HS2,43,f,18,2.646,2.862,2.754,5,13,0.172,0.8296667,0.7226667
BK200462,2020,HS2,37,f,15,1.946,1.719,4.049,4,NA,NA,NA,NA
BK200505,2020,HS2,40,f,17,2.937,3.144,4.159,4,NA,NA,NA,NA
BK200506,2020,HS2,38,f,17,2.599,2.562,3.832,4,11,0.104,0.907,0.7696667
BK200507,2020,HS2,42,f,21,NA,NA,NA,NA,NA,NA,NA,NA
BK200508,2020,HS2,35,f,17,2.248,2.435,3.367,5,NA,NA,NA,NA
BK200514,2020,HS2,47,f,25,2.748,3,4.474,6,14,0.181,0.8933333,0.8053333
